不同寻常,主导,伤心,值得信赖,典型种族人,厌恶,吸引力,女性化,威胁,娃娃脸,害怕,快乐,惊讶,生气,男性化
-0.0051792128942906,-0.006116097792983,0.0140625750645995,-0.0071597849018871,-0.0051705054938793,-0.0272319875657558,-0.0014412252930924,0.0002764723612926,0.0241008531302213,-0.0188667997717857,-0.029174480587244,0.0080530131235718,0.0120105436071753,0.0257010962814092,-0.0202435180544853
-0.0008436297648586,-0.0104009779170155,0.0124652115628123,-0.0086454879492521,-0.0043846946209669,-0.0201967172324657,0.0022810576483607,0.0022019748575985,0.0180220063775777,-0.0165170039981603,-0.0306567009538412,0.0111199496313929,0.0050807264633476,0.0221871715039014,-0.0204595532268285
4.3826970795635134e-05,-0.0123551236465573,0.0155639247968792,-0.0132125103846192,-0.0044680833816528,-0.0143042644485831,0.002543291542679,-0.0010049219708889,0.0111133866012096,-0.009585803374648,-0.0264166463166475,0.0168321579694747,0.0048243212513625,0.0245396196842193,-0.0249254386872053
0.0046104998327791,-0.0143734021112322,0.0167218912392854,-0.0165686998516321,-0.00439596734941,-0.0148939099162817,-0.0034028184600174,-0.0045816833153367,0.013836670666933,-0.0042362101376056,-0.0229186546057462,0.0187908969819545,0.0073673594743013,0.0310490299016237,-0.0281346105039119
0.0062305773608386,-0.015981275588274,0.0135265626013278,-0.0182094071060419,-0.0036824508570134,-0.0114668374881148,-0.0055839288979768,-0.0011769223492592,0.0163648892194032,-0.0077219405211508,-0.0189839992672204,0.0196136981248855,0.006894527003169,0.0355715081095695,-0.030662877485156
0.0008571472135372,-0.0160907451063394,0.0143798822537064,-0.0168666820973157,-0.0051117604598402,-0.0088144950568676,-0.0042420313693583,-0.0003389863995835,0.0152299143373966,-0.0114912437275052,-0.0106266122311353,0.021631583571434,0.010800982825458,0.035305518656969,-0.0337304137647151
0.0009788098977878,-0.0144716398790478,0.0163038000464439,-0.0109128262847661,-0.0060528493486344,-0.0109719531610608,-0.005076618399471,-0.003510806011036,0.0156948324292898,-0.0109518943354487,-0.0056334431283175,0.0206559970974922,0.014680235646665,0.0323701798915863,-0.0308040715754032
0.0065763243474066,-0.0129615049809217,0.0135733457282185,-0.0059836232103407,-0.0049663512036204,-0.0061134658753871,-0.0064751883037388,0.0001397637970512,0.0161992497742176,-0.0104769216850399,0.00172100297641,0.0256957374513149,0.0110986046493053,0.032553669065237,-0.0190840661525726
0.0068298885598778,-0.0112511925399303,0.0129086123779416,-0.0048092571087181,-0.0067365365102887,0.0002465345023665,-0.0008998996345326,-0.0003686344425659,0.0099782608449459,-0.0099928267300128,0.0030663970392197,0.0186915826052427,0.0089014861732721,0.0273200627416372,-0.017806340008974
0.0083498926833271,-0.0141296759247779,0.0086207948625087,-0.0010659768013283,-0.0031118735205382,-0.0002593937388155,0.0007938746130093,0.0014796712202951,0.011961149983108,-0.004980381578207,0.0105375684797763,0.0143362944945693,0.010963006876409,0.0209039654582738,-0.0160684362053871
